Row Labels,Salary Below Average,Salary Above Average
15566689,1,
15569641,,1
15570769,,1
15570932,,1
15571059,1,
15573452,1,
15573926,,1
15574305,1,
15574372,1,
15575002,1,
15575247,,1
15575694,,1
15576219,1,
15577178,1,
15577514,,1
15577806,,1
15578006,1,
15578738,,1
15579212,,1
15579781,1,
15581198,,1
15581282,,1
15581654,1,
15582066,,1
15582492,,1
15583137,1,
15583681,,1
15584114,1,
15584320,,1
15584545,,1
15586757,,1
15586996,,1
15587013,,1
15587177,1,
15587419,,1
15588080,,1
15589449,,1
15589715,,1
15591279,,1
15591433,1,
15591915,1,
15592570,1,
15592877,1,
15593014,1,
15593715,,1
15594041,1,
15594577,1,
15594762,,1
15595135,1,
15595228,1,
15595324,1,
15595917,,1
15596522,,1
15596761,,1
15596984,,1
15598044,,1
15598070,1,
15598840,,1
15599081,1,
15599533,1,
15600379,,1
15600575,1,
15601550,1,
15602373,,1
15603246,1,
15603319,1,
15603942,,1
15605000,,1
15605327,1,
15606274,1,
15606472,1,
15609637,,1
15609653,1,
15609669,,1
15610140,1,
15610403,1,
15610801,1,
15611191,,1
15611430,1,
15612465,,1
15613014,1,
15614187,,1
15614420,1,
15614827,,1
15617134,1,
15617482,1,
15617877,,1
15619087,1,
15619407,,1
15619465,1,
15619653,1,
15621083,1,
15622171,1,
15622478,1,
15622585,,1
15622833,1,
15623502,1,
15624510,1,
15624755,1,
15625395,1,
15627220,,1
15628523,1,
15628972,,1
15629739,1,
15629885,,1
15631070,1,
15631159,1,
15631912,,1
15633531,1,
15635893,1,
15636023,1,
15636428,,1
15637593,,1
15638003,1,
15638646,,1
15638963,1,
15639277,1,
15639576,,1
15642725,1,
15642885,1,
15644296,,1
15646091,1,
15646227,,1
15646936,,1
15649136,1,
15649487,1,
15649668,,1
15651983,,1
15652400,1,
15654230,,1
15654296,1,
15654456,,1
15654574,,1
15654901,1,
15655123,1,
15657163,1,
15660200,,1
15660541,1,
15660866,,1
15662067,1,
15662901,,1
15663161,,1
15663249,1,
15663939,,1
15664907,,1
15665416,,1
15665760,,1
15666141,1,
15666675,,1
15667265,,1
15667417,,1
15667742,1,
15668385,1,
15668504,,1
15668521,1,
15668575,1,
15669656,1,
15670615,1,
15670619,,1
15671249,,1
15671387,,1
15671655,1,
15671766,,1
15672091,1,
15672330,1,
15672821,,1
15673367,1,
15673539,,1
15673619,,1
15674206,,1
15674331,1,
15675185,1,
15675791,,1
15675949,,1
15678168,1,
15678201,,1
15679297,,1
15679651,1,
15679760,1,
15680243,1,
15680587,,1
15680752,,1
15682268,1,
15683758,1,
15684801,,1
15684861,1,
15685346,,1
15685536,1,
15685576,1,
15687491,,1
15688172,,1
15689237,1,
15689425,1,
15689751,,1
15690188,1,
15691808,,1
15691863,1,
15692819,1,
15693264,1,
15694288,,1
15694395,1,
15694453,1,
15694829,,1
15694879,,1
15694946,1,
15695679,1,
15697020,1,
15697424,1,
15697574,1,
15697686,,1
15697997,,1
15699247,,1
15699284,1,
15699619,,1
15701537,,1
15701962,1,
15704583,1,
15704987,1,
15705113,1,
15705298,,1
15706071,1,
15706185,1,
15707596,1,
15707634,1,
15708196,,1
15708228,1,
15708791,,1
15709183,1,
15709441,1,
15709476,1,
15710257,1,
15711218,,1
15713144,1,
15713463,,1
15713912,,1
15714658,1,
15715160,1,
15715541,,1
15715622,,1
15716781,1,
15717560,1,
15717893,,1
15718071,1,
15720745,,1
15720943,,1
15721007,,1
15721592,,1
15721835,1,
15722061,,1
15722758,1,
15723373,1,
15724150,1,
15724161,1,
15724402,,1
15724423,,1
15724536,,1
15724858,,1
15725660,,1
15725794,1,
15726358,1,
